0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:21 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "POST /SamundiAgencies/RetailerUploadSubmit HTTP/1.1" 200 7973
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:26 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:18:27 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 7495
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/js/jquery.dataTables.min.js HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:19:23 +0530] "GET /SamundiAgencies/resources/js/dataTables.bootstrap.min.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:23:21 +0530] "GET /SamundiAgencies/IceBalance HTTP/1.1" 200 8798
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:23:21 +0530] "GET /SamundiAgencies/resources/css/ss.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:23:21 +0530] "GET /SamundiAgencies/resources/css/datatables.css HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [12/Jul/2018:22:23:21 +0530] "GET /SamundiAgencies/resources/css/datatables.min.css HTTP/1.1" 404 992
